7
ACB	34.05	34.5
PV2	7.4	7.4
VNM	81.2	81.1
HSG	36.35	35.95
VIC	82.0	83.7
FLC	11.75	11.7
BID	44.85	46.2
ACB	35.4	34.0
HSG	36.55	36.3
VNM	81.1	81.5
FLC	11.65	11.65
BID	47.2	44.75
PV2	7.4	7.4
VIC	81.7	81.8
FLC	11.8	12.0
PV2	7.4	7.4
ACB	35.3	35.7
VNM	82.0	82.5
VIC	83.0	81.7
BID	48.2	47.9
HSG	36.05	37.1
BID	48.6	48.4
VIC	85.7	84.0
PV2	7.6	7.5
ACB	35.6	35.55
HSG	36.95	36.4
VNM	82.7	82.8
FLC	12.05	11.8
FLC	11.75	12.05
ACB	35.9	35.6
VNM	82.8	82.0
HSG	34.75	36.45
BID	47.3	48.4
VIC	87.6	85.7
PV2	7.6	7.6
ACB	34.7	35.75
FLC	12.0	12.0
PV2	7.7	7.6
VNM	82.0	83.4
HSG	31.6	33.0
VIC	91.3	87.3
BID	47.4	47.35
BID	48.4	47.4
PV2	7.3	7.7
FLC	11.45	11.85
ACB	35.0	34.7
VIC	100	94
HSG	31.0	31.9
VNM	83.5	83.2
HSG	30.6	30.35
FLC	10	10.6
VIC	95.1	97.0
BID	47.6	47.95
ACB	34.9	34.55
VNM	83.1	83.0
PV2	7.1	7.1
VNM	83.1	80.1
HSG	31.2	30.3
BID	48.0	47.6
PV2	6.9	6.8
ACB	35.4	34.9
FLC	10.8	10.4
VIC	96.5	96.5
FLC	11.3	10.75
HSG	31.3	30.9
PV2	7.1	6.9
ACB	35.0	35.45
BID	49.5	48.1
VIC	96.5	96.4
VNM	79.7	79.3
